,V1,V2,V3,V4
404,mfcc.std.19,2.62E-60,1.32E-57,LibROSA
498,tonnetz.mean.04,2.96E-60,1.49E-57,LibROSA
180,chromacqt.std.11,3.53E-59,1.78E-56,LibROSA
144,chromacqt.median.11,1.25E-57,6.31E-55,LibROSA
476,spectralrolloff.kurtosis.01,1.94E-57,9.75E-55,LibROSA
471,spectralcontrast.std.03,2.12E-57,1.07E-54,LibROSA
97,chromacens.std.12,1.39E-56,6.97E-54,LibROSA
470,spectralcontrast.std.02,3.58E-55,1.80E-52,LibROSA
90,chromacens.std.05,2.18E-54,1.10E-51,LibROSA
87,chromacens.std.02,4.26E-53,2.14E-50,LibROSA
351,mfcc.min.06,6.35E-52,3.19E-49,LibROSA
352,mfcc.min.07,3.59E-51,1.80E-48,LibROSA
365,mfcc.min.20,4.85E-51,2.44E-48,LibROSA
142,chromacqt.median.09,1.35E-50,6.81E-48,LibROSA
125,chromacqt.mean.04,1.56E-50,7.82E-48,LibROSA
371,mfcc.skew.06,2.56E-50,1.29E-47,LibROSA
396,mfcc.std.11,5.51E-50,2.77E-47,LibROSA
262,chromastft.std.09,7.59E-50,3.82E-47,LibROSA
135,chromacqt.median.02,5.19E-49,2.61E-46,LibROSA
30,chromacens.max.05,7.22E-49,3.63E-46,LibROSA
140,chromacqt.median.07,2.80E-48,1.41E-45,LibROSA
137,chromacqt.median.04,1.84E-47,9.23E-45,LibROSA
242,chromastft.skew.01,2.77E-47,1.40E-44,LibROSA
143,chromacqt.median.10,3.94E-47,1.98E-44,LibROSA
141,chromacqt.median.08,8.31E-47,4.18E-44,LibROSA
128,chromacqt.mean.07,2.01E-46,1.01E-43,LibROSA
346,mfcc.min.01,3.52E-46,1.77E-43,LibROSA
261,chromastft.std.08,5.94E-45,2.99E-42,LibROSA
402,mfcc.std.17,1.48E-44,7.45E-42,LibROSA
37,chromacens.max.12,6.69E-44,3.36E-41,LibROSA
123,chromacqt.mean.02,7.52E-44,3.78E-41,LibROSA
466,spectralcontrast.skew.05,1.91E-42,9.62E-40,LibROSA
54,chromacens.median.05,2.27E-42,1.14E-39,LibROSA
55,chromacens.median.06,2.39E-41,1.20E-38,LibROSA
170,chromacqt.std.01,3.90E-41,1.96E-38,LibROSA
467,spectralcontrast.skew.06,6.49E-41,3.26E-38,LibROSA
434,spectralcontrast.max.01,8.72E-41,4.39E-38,LibROSA
185,chromastft.kurtosis.04,1.51E-40,7.59E-38,LibROSA
130,chromacqt.mean.09,2.01E-40,1.01E-37,LibROSA
403,mfcc.std.18,7.97E-40,4.01E-37,LibROSA
379,mfcc.skew.14,2.30E-39,1.16E-36,LibROSA
28,chromacens.max.03,4.19E-39,2.11E-36,LibROSA
133,chromacqt.mean.12,8.41E-39,4.23E-36,LibROSA
145,chromacqt.median.12,3.69E-38,1.86E-35,LibROSA
132,chromacqt.mean.11,4.45E-38,2.24E-35,LibROSA
136,chromacqt.median.03,9.42E-38,4.74E-35,LibROSA
468,spectralcontrast.skew.07,1.09E-37,5.50E-35,LibROSA
42,chromacens.mean.05,1.54E-37,7.72E-35,LibROSA
26,chromacens.max.01,3.19E-37,1.60E-34,LibROSA
29,chromacens.max.04,3.26E-37,1.64E-34,LibROSA
263,chromastft.std.10,5.83E-37,2.93E-34,LibROSA
265,chromastft.std.12,1.18E-36,5.92E-34,LibROSA
398,mfcc.std.13,2.69E-36,1.36E-33,LibROSA
162,chromacqt.skew.05,2.85E-36,1.43E-33,LibROSA
53,chromacens.median.04,7.89E-36,3.97E-33,LibROSA
159,chromacqt.skew.02,8.73E-36,4.39E-33,LibROSA
27,chromacens.max.02,9.19E-36,4.62E-33,LibROSA
43,chromacens.mean.06,1.07E-35,5.40E-33,LibROSA
178,chromacqt.std.09,1.22E-35,6.13E-33,LibROSA
497,tonnetz.mean.03,6.68E-35,3.36E-32,LibROSA
35,chromacens.max.10,7.90E-35,3.97E-32,LibROSA
287,mfcc.max.02,1.50E-34,7.56E-32,LibROSA
129,chromacqt.mean.08,2.69E-34,1.35E-31,LibROSA
124,chromacqt.mean.03,3.99E-34,2.01E-31,LibROSA
36,chromacens.max.11,4.27E-34,2.15E-31,LibROSA
131,chromacqt.mean.10,4.62E-33,2.32E-30,LibROSA
31,chromacens.max.06,1.12E-32,5.63E-30,LibROSA
507,tonnetz.min.01,1.31E-32,6.56E-30,LibROSA
244,chromastft.skew.03,2.84E-32,1.43E-29,LibROSA
41,chromacens.mean.04,2.97E-32,1.50E-29,LibROSA
374,mfcc.skew.09,3.42E-32,1.72E-29,LibROSA
34,chromacens.max.09,1.24E-31,6.21E-29,LibROSA
272,mfcc.kurtosis.07,3.02E-31,1.52E-28,LibROSA
158,chromacqt.skew.01,4.35E-31,2.19E-28,LibROSA
38,chromacens.mean.01,9.01E-31,4.53E-28,LibROSA
48,chromacens.mean.11,2.26E-30,1.14E-27,LibROSA
32,chromacens.max.07,3.29E-29,1.66E-26,LibROSA
417,spectralbandwidth.min.01,4.87E-29,2.45E-26,LibROSA
506,tonnetz.median.06,1.13E-28,5.67E-26,LibROSA
382,mfcc.skew.17,2.56E-28,1.29E-25,LibROSA
469,spectralcontrast.std.01,1.36E-27,6.84E-25,LibROSA
